ID,Work Item Type,Title,State,Priority,Story Points,Description,Acceptance Criteria
1,Epic,Portfolio Simulation Platform,Active,1,200,"Enterprise-grade simulation platform for Asset Management Firms, Hedge Funds, and Proprietary Trading Desks. Enable training on execution strategies, risk management, and portfolio construction in a controlled, high-fidelity simulation environment.",- Platform supports multi-user simulation venues (Exchanges) - Risk Managers can configure market regimes - Portfolio Managers can execute trades and manage portfolios - Real-time market data simulation with configurable volatility - Comprehensive analytics and performance metrics
,Feature,Exchange Management,Active,1,34,Create and manage simulation venues (Exchanges) with multi-tenancy support. Each Exchange is an isolated simulation environment with role-based access control.,- Create new Exchanges with unique names - Assign Risk Manager role to creator - Support multiple concurrent Exchanges - Row-Level Security (RLS) enforcement
,User Story,Create Exchange API endpoint,Closed,1,8,Implement POST /api/v1/exchanges endpoint to create new simulation venues. The creator is automatically assigned the RiskManager role.,- Validates request body with Zod schema - Creates Exchange record in database - Creates default ExchangeConfiguration - Assigns RiskManager role to creator - Returns Exchange details in response
,User Story,Implement Exchange RLS policies,Closed,1,13,Configure Row-Level Security policies in SQL Database to ensure users can only access Exchanges where they have assigned roles.,- RLS policy blocks unauthorized access - SESSION_CONTEXT properly set for each request - Users see only their assigned Exchanges - SuperAdmin can see all Exchanges
,User Story,Exchange role management UI,Active,2,8,Build Angular component for managing Exchange roles. Risk Managers can assign PortfolioManager and Analyst roles to users.,"- Display current role assignments - Add/remove user roles - Role dropdown with three options: RiskManager, PortfolioManager, Analyst - Permission checks enforce RiskManager-only access"
,User Story,Exchange configuration page,New,2,5,"Create settings page for Exchange configuration including volatility, starting cash, commission rates, and margin settings.",- Form displays current configuration - Update configuration via API - Validation for numeric ranges - Changes take effect immediately
,Feature,Order Execution,Active,1,42,"Support multiple order types (Market, Limit, Stop, Stop-Limit) with real-time order matching and execution.",- All order types supported - Orders matched against market prices - Portfolio positions updated on fill - Order status transitions tracked
,User Story,Create Order API endpoint,Closed,1,13,Implement POST /api/v1/orders endpoint with Zod validation for all order types.,"- Validates order type, side, quantity, price fields - Enforces required fields per order type - Creates order record in database - Returns order details with PENDING status"
,User Story,Market order matching engine,Active,1,13,Implement matching logic for Market orders that execute immediately at current market price.,- Market orders execute within one tick cycle - Uses current bid/ask prices - Updates order status to FILLED - Creates transaction records
,User Story,Limit order matching engine,Active,1,8,Implement matching logic for Limit orders that execute only at specified price or better.,- Buy limit orders execute when market price <= limit price - Sell limit orders execute when market price >= limit price - Partial fills supported - Orders remain PENDING until filled or cancelled
,User Story,Stop and Stop-Limit order support,New,2,8,Add support for Stop and Stop-Limit orders that trigger when market reaches stop price.,- Stop orders convert to Market orders when triggered - Stop-Limit orders convert to Limit orders when triggered - Trigger logic based on last traded price - Status transitions from PENDING to TRIGGERED to FILLED
,Feature,Market Simulation Engine,Active,1,34,Real-time market price simulation using random walk model with configurable volatility and tick intervals.,- Price updates generated every tick interval - Volatility configurable per Exchange - OHLC (Open-High-Low-Close) data aggregated - Price updates broadcast via SignalR
,User Story,Market tick timer function,Closed,1,8,Create Azure Function with timer trigger that runs every 5 seconds to generate market updates.,- Timer trigger configured in function.json - Fetches all active Exchanges - Generates price updates for configured symbols - Processes pending orders
,User Story,Random walk price generation,Closed,1,8,Implement random walk algorithm for realistic price movements based on Exchange volatility settings.,- Uses Gaussian distribution for price changes - Volatility parameter controls variance - Prices remain positive (no negative values) - Price changes validated with Zod schema
,User Story,OHLC data aggregation,Closed,2,13,Aggregate tick-level price data into OHLC candles for charting and historical analysis.,"- Supports multiple timeframes (1m, 5m, 15m, 1h, 1d) - Aggregation runs as Azure Function timer trigger - Data stored in Trade.OHLCData table - Efficient queries for chart data retrieval"
,User Story,SignalR real-time price broadcast,Active,1,5,Broadcast price updates to connected clients using Azure SignalR Service with MessagePack protocol.,- Price updates sent via SignalR - MessagePack serialization for efficiency - Clients subscribed to Exchange-specific channels - Maximum 100ms latency
